doi,pmid,title,paper_type,relevance_score_llm,biological_context,data_modalities_used,annotation_status,llm_query_date,llm_model,is_method_paper,is_method_comparison_paper,review_type,methodology_type,covered_analysis_steps,pipeline_package_name,main_goals,data_links_mentioned,code_availability.status,code_availability.link_in_abstract_or_title,is_spatial_omics,is_disease_specific_review,is_pipeline_paper,is_review_paper,curated_data_modalities_used,modalities_general,tissue,disease,animal
10.1016/j.ard.2025.04.025,40410053,Spatial multiomics decipher fibroblast-macrophage dynamics in systemic sclerosis.,application,relevant,Systemic sclerosis (SSc) skin,"['spatial transcriptomics', 'Stereo-seq transcriptomics', 'spatial proteomics', 'single-cell RNA sequencing']",weak_llm_annotated,2025-06-26T03:00:32.657143,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"To explore tissue organization and cell coordination in SSc skin, providing spatiotemporal insights into disease mechanisms and bridging the gap between omics discovery and precision medicine by analyzing fibroblast-macrophage dynamics.",[],Not mentioned,N/A,,,,,"['general_spatial_proteomics', 'general_spatial_transcriptomics', 'general_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'spatial_proteomics', 'transcriptomics']",Skin,,
10.1016/j.jaci.2025.05.007,40409379,Dissecting key contributions of Th2 and Th17 cytokines to atopic dermatitis pathophysiology.,application,relevant,Atopic dermatitis pathophysiology,"['spatial transcriptomics', 'in vitro epidermal equivalents', 'keratinocytes']",weak_llm_annotated,2025-06-26T03:00:44.562759,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Domain Identification', 'Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis']",N/A,"This paper investigates which T helper (Th)2 and Th17 cytokines drive specific epidermal hallmarks in atopic dermatitis (AD). It utilizes human epidermal equivalents stimulated with these cytokines and analyzes their effects using morphological, functional, and transcriptomic methods. The study aims to uncover the role of IL-22 in Th2-driven AD and evaluate the potential of combinatory therapies.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'irrelevant_terms']","['spatial_transcriptomics', 'irrelevant_terms']",Skin,Skin disoders,
10.1158/1078-0432.CCR-24-3679,40407728,"Comprehensive single-cell RNA atlas of human laryngeal normal, preneoplastic and tumorigenic states.",application,relevant,Laryngeal squamous cell carcinoma (LSCC) progression from vocal cord leukoplakia (VCL),"['single-cell RNA sequencing', 'spatial transcriptomics', 'surgical tissue specimens']",weak_llm_annotated,2025-06-26T03:00:56.324362,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis', 'Clustering', 'Visualization']",N/A,"To characterize the cellular microenvironmental differences between vocal cord leukoplakia (VCL) and laryngeal squamous cell carcinoma (LSCC) at single-cell resolution. The study aims to identify epithelial subclusters in VCL with malignant potential and shared immunosuppressive features with LSCC, providing insights into disease progression and potential therapeutic targets.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics']",Oral/Pharyngeal/Head & Neck,Cancer (General),
10.1038/s41593-025-01955-w,40404995,Microglia activation orchestrates CXCL10-mediated CD8<sup>+</sup> T cell recruitment to promote aging-related white matter degeneration.,application,relevant,Aging-related white matter degeneration in mice,"['single-cell transcriptomics', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:01:08.199786,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Glial heterogeneity', 'Spatial transcriptomics']",N/A,"To investigate microglial functions related to aging-associated changes in myelinated axons of mice using pharmacological and genetic approaches. The study reveals that maladaptive microglia activation promotes the accumulation of harmful CD8+ T cells, leading to white matter degeneration. It also identifies the CXCL10-CXCR3 axis as crucial for CD8+ T cell recruitment.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'general_transcriptomics']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),,Rodent
10.1016/j.jcmgh.2025.101536,40404099,HMG Box-containing Protein 1 (HBP1) Protects Against Pancreatic Injury in Acute Pancreatitis but Promotes Neoplastic Progression.,application,relevant,Pancreatitis and pancreatic ductal adenocarcinoma (PDAC),"['histology images', 'spatial transcriptomics', 'multiplexed protein assays', 'immunostaining']",weak_llm_annotated,2025-06-26T03:01:38.403478,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Histologic analysis']",N/A,This study investigates the role of HMG Box-containing Protein 1 (HBP1) in acute pancreatitis and pancreatic cancer progression. The findings indicate that HBP1 protects against pancreatic injury but promotes neoplastic progression in the presence of oncogenic KRAS. HBP1 is identified as a potential therapeutic target for intervening pancreatitis and PanIN progression.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'irrelevant_terms', 'other_imaging']","['spatial_transcriptomics', 'histology', 'irrelevant_terms', 'other_methods']",Pancreas,Cancer (General),
10.1161/ATVBAHA.124.321173,40401371,Single-Cell and Spatial Transcriptomics Identified Fatty Acid-Binding Proteins Controlling Endothelial Glycolytic and Arterial Programming in Pulmonary Hypertension.,application,relevant,Pulmonary arterial hypertension (PAH),"['histology images', 'immunostaining', 'Bulk RNA sequencing (RNA-seq)', 'single-cell RNA sequencing analysis', 'spatial transcriptomic analysis', 'plasma proteome analysis']",weak_llm_annotated,2025-06-26T03:02:02.377994,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'single-cell RNA sequencing analysis', 'Bulk RNA sequencing (RNA-seq)']",N/A,"This study investigated the role of endothelial fatty acid-binding proteins (FABP4/5) in the pathogenesis of pulmonary arterial hypertension (PAH). It used single-cell and spatial transcriptomics, along with other experimental techniques, to identify FABP4/5 as key regulators of endothelial glycolysis and arterial programming in PAH, demonstrating their therapeutic potential.",[],Not mentioned,N/A,,,,,"['Histology_Images', 'analysis_related_terms', 'Single-cell_RNA-seq(scRNA-seq)', 'Bulk_RNAseq', 'other_imaging']","['other_methods', 'histology', 'transcriptomics', 'analysis_related_terms']",Lung,,
10.46439/signaling.3.053,40401196,Insights into early acne pathogenesis: Exploring intercellular dynamics and key dysregulated genes.,application,relevant,Early-stage acne vulgaris,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:02:14.041577,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",N/A,"The paper aims to explore comprehensive changes and shared dysregulated signaling pathways in early-stage acne by analyzing cell communication using single-cell RNA sequencing and spatial transcriptomics. It identifies dysregulated genes related to inflammation and hyperkeratinization, proposes new markers across various skin cell types, and discusses potential FDA-approved treatments targeting key pathways.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Skin,Skin disoders,
10.1038/s41590-025-02161-3,40399607,A single-cell spatial chart of the airway wall reveals proinflammatory cellular ecosystems and their interactions in health and asthma.,application,relevant,Airway wall in health and asthma,"['spatial transcriptomics', 'histology images']",weak_llm_annotated,2025-06-26T03:02:19.877315,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Domain Identification', 'Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",N/A,"To apply single-cell spatial transcriptomics to reveal the airway wall landscape in health and during asthma, identifying proinflammatory cellular ecosystems and their interactions. The study aims to provide insights into the mechanisms driving asthma and identify targets for therapeutic intervention by revealing distinct cellular ecosystems within spatial niches.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images']","['spatial_transcriptomics', 'histology']",Lung,,
10.1038/s41418-025-01523-6,40399534,Gain-of-function PPM1D mutations attenuate ischemic stroke.,application,relevant,"Ischemic stroke, brain injury","['whole-genome sequencing', 'spatial transcriptomics', 'proteomics']",weak_llm_annotated,2025-06-26T03:02:31.777542,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Proteomics']",N/A,"This study identifies gain-of-function PPM1D mutations in ischemic stroke patients, revealing a protective role of PPM1D against ischemic brain injury. It elucidates the mechanism involving PPARα-mediated fatty acid metabolism and introduces a pharmacological stabilizer, T2755, as a potential therapy.",[],Not mentioned,N/A,,,,,"['general_proteomics', 'general_spatial_transcriptomics', 'other_methods']","['spatial_transcriptomics', 'proteomics', 'other_methods']",Nervous System (Brain/CNS),Cardiovascular Disease,
10.1016/j.xcrm.2025.102140,40398393,Targeting mitochondrial complex I of CD177<sup>+</sup> neutrophils alleviates lung ischemia-reperfusion injury.,application,relevant,Lung ischemia-reperfusion injury and primary graft dysfunction following lung transplantation,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:02:49.516979,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,This study identifies CD177+ neutrophils as a key contributor to lung ischemia-reperfusion injury (IRI) and primary graft dysfunction. It demonstrates that targeting mitochondrial complex I in these neutrophils alleviates lung injury in experimental models.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Lung,Cardiovascular Disease,
10.3389/fimmu.2025.1546382,40396179,Integrative single-cell and spatial transcriptomics analysis reveals MDK-NCL pathway's role in shaping the immunosuppressive environment of lung adenocarcinoma.,application,relevant,Lung adenocarcinoma,"['scRNA-seq', 'spatial transcriptomics', 'bulk RNA-seq', 'mRNA', 'protein']",weak_llm_annotated,2025-06-26T03:03:01.824621,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Clustering', 'Spatial Domain Identification', 'Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",N/A,"This study investigates the cellular composition of the tumor microenvironment in lung adenocarcinoma (LUAD) and assesses the role of the MDK-NCL signaling pathway. The findings reveal that LUAD cells utilize the MDK-NCL pathway to shape an immunosuppressive microenvironment, promoting malignancy and immune evasion, thus highlighting it as a potential therapeutic target.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Bulk_RNAseq', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics']",Lung,Cancer (General),
10.1007/s12672-025-02421-6,40394449,Pyroptosis drives tumor progression and immune evasion in Hepatocellular Carcinoma: a single-cell and spatial transcriptomic study.,application,relevant,Hepatocellular Carcinoma (HCC),"['single-cell RNA sequencing (scRNA-seq)', 'spatial transcriptomic data', 'bulk RNA-seq data']",weak_llm_annotated,2025-06-26T03:03:08.049923,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis', 'Spatial Domain Identification']",Seurat,"This study investigates pyroptosis-related gene expression in HCC, identifying CHMP4B as a key gene influencing prognosis and the tumor microenvironment. It aims to elucidate CHMP4B's role in tumor progression and immune evasion, suggesting its potential as a biomarker and therapeutic target.",['GEO database (GSE149614)'],Not mentioned,N/A,,,,,"['Bulk_RNAseq', 'data_related_terms', 'Single-cell_RNA-seq(scRNA-seq)']","['transcriptomics', 'data_related_terms']",Liver,Cancer (General),
10.1038/s41698-025-00897-7,40394148,Multimodal spatial proteomic profiling in acute myeloid leukemia.,application,relevant,Acute myeloid leukemia (AML),"['spatial immunofluorescence', 'mass cytometry imaging', 'spatial transcriptomics', 'proteomics']",weak_llm_annotated,2025-06-26T03:03:14.179169,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,pipeline,"['Spatial Domain Identification', 'Clustering', 'Cell-Cell Interaction Analysis']",N/A,"The study optimized a high-throughput pipeline for spatial immunofluorescence and mass cytometry imaging to profile immune, tumor, and structural components in AML. It identified tertiary lymphoid-like aggregates in bone marrow and found signatures predictive of outcomes in AML. The work opens possibilities for discovering novel structures and interactions underpinning leukemic immune response.",[],Not mentioned,N/A,,,,,"['general_proteomics', 'general_spatial_transcriptomics', 'Immunofluorescence(IF)', 'other_methods']","['spatial_transcriptomics', 'proteomics', 'spatial_proteomics', 'other_methods']",Blood/Immune System,Cancer (General),
10.1038/s41420-025-02503-y,40394037,Decoding the impact of MMP1+ malignant subsets on tumor-immune interactions: insights from single-cell and spatial transcriptomics.,application,relevant,Tumor biology and immune modulation,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:03:26.287690,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis']",N/A,"To investigate MMP1 expression, its cellular localization, and its impact on tumor progression and immune modulation using single-cell RNA sequencing and spatial transcriptomics. The study aims to understand MMP1's role in the tumor-immune microenvironment and explore its potential as a therapeutic target.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Blood/Immune System,Cancer (General),
10.1016/j.xgen.2025.100881,40393458,Phenotypic heterogeneity and plasticity in colorectal cancer metastasis.,application,relevant,Colorectal cancer metastasis,"['single-cell multiomics', 'spatial transcriptomics', 'histology images']",weak_llm_annotated,2025-06-26T03:03:32.463353,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis', 'Spatial Domain Identification']",N/A,"This study investigates phenotypic heterogeneity and plasticity in colorectal cancer metastasis. Using single-cell multiomics and spatial transcriptomics, it identifies cancer cell states resembling metastasis-initiating cells and their regulators (AP-1, NF-κB) in an immunosuppressive niche. The findings aim to reveal targets to impair metastasis.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'general_omics']","['spatial_transcriptomics', 'histology', 'general_omics']",Gastrointestinal_colorectal,Cancer (General),
10.1158/1078-0432.CCR-25-0687,40392977,Spatial transcriptomics advances the use of canine patients in cancer research: analysis of osteosarcoma-bearing pet dogs enrolled in a clinical trial.,application,relevant,Canine osteosarcoma,"['formalinfixedparaffinembedded tissues', 'histology images', 'spatial transcriptomics', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T03:03:38.527877,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Deconvolution']",GeoMx Canine Cancer Atlas,"This study presents the first application of the GeoMx Canine Cancer Atlas to outcome-linked samples from canine osteosarcoma patients. It analyzes gene and pathway enrichment associated with disease-free interval in these patients, aiming to validate the utility of the canine model for human cancer research.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'irrelevant_terms', 'other_imaging']","['spatial_transcriptomics', 'histology', 'irrelevant_terms', 'other_methods']",Bone/Joint,Cancer (General),Other Animal
10.1007/s12105-025-01798-8,40392349,"High-Sensitivity PD-L1 Staining Using Clone 73-10 Antibody and Spatial Transcriptomics for Precise Expression Analysis in Non-Tumorous, Intraepithelial Neoplasia, and Squamous Cell Carcinoma of Head and Neck.",application,relevant,Head and Neck Squamous Cell Carcinoma (HNSCC),"['Immunohistochemistry', 'spatial transcriptomics', 'histology images']",weak_llm_annotated,2025-06-26T03:03:44.649339,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification']",N/A,"To evaluate PD-L1 (CD274) expression using a highly sensitive clone (73-10) and spatial transcriptomics in HNSCC, intraepithelial neoplasia, and normal mucosa. The study aimed to understand the role of PD-L1 in HNSCC and potentially expand patient eligibility for immune checkpoint inhibitor therapy.",[],Not mentioned,N/A,,,,,"['Immunohistochemistry(IHC)', 'Histology_Images', 'general_spatial_transcriptomics']","['spatial_transcriptomics', 'histology', 'spatial_proteomics']",Oral/Pharyngeal/Head & Neck,Cancer (General),
10.1186/s40478-025-02025-9,40390063,"Spatial transcriptomics reveal PI3K-AKT and metabolic alterations in aggressive, treatment-resistant lactotroph pituitary neuroendocrine tumors.",application,relevant,"Aggressive, treatment-resistant lactotroph pituitary neuroendocrine tumors (PitNET)","['Visium Spatial Transcriptomics', 'whole transcriptome sequencing', 'whole exome sequencing']",weak_llm_annotated,2025-06-26T03:04:02.575096,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis', 'Trajectory Inference', 'Spatial Domain Identification', 'Deconvolution']",N/A,To unravel the molecular heterogeneity of lactotroph PitNET and identify biomarkers of aggressiveness and resistance to pharmacological treatment using spatial transcriptomics and other sequencing methods. The study aimed to identify molecular targets for therapeutic strategies.,[],Not mentioned,N/A,,,,,"['other_methods', '10x_Genomics_Visium']","['spatial_transcriptomics', 'other_methods']",Nervous System (Brain/CNS),Cancer (General),
10.1186/s13073-025-01475-z,40390022,Spatiotemporal single-cell analysis elucidates the cellular and molecular dynamics of human cornea aging.,application,relevant,Human cornea aging,"['single-cell RNA sequencing', 'scStereo-seq', 'Immunofluorescence staining', 'Western blotting']",weak_llm_annotated,2025-06-26T03:04:08.448965,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study elucidates the spatiotemporal cellular and molecular dynamics of human cornea aging using single-cell RNA sequencing and scStereo-seq. It identifies novel cell subpopulations, maps the spatial positioning of limbal stem cells, and delineates intercellular interactions. The findings reveal an age-related centripetal migration pattern of basal cells and differential regional characteristics of the corneal endothelium, providing a resource for understanding corneal homeostasis and advancing related research.",[],Not mentioned,N/A,,,,,"['irrelevant_terms', 'Immunofluorescence(IF)', 'Single-cell_RNA-seq(scRNA-seq)', 'other_methods']","['irrelevant_terms', 'spatial_proteomics', 'transcriptomics', 'other_methods']",Eye,,Human
10.1097/JS9.0000000000002520,40387729,"Single-cell and spatial transcriptome analysis revealed cellular heterogeneity of glycosyltransferases in cervical cancer, and identified GALNT3-negative epithelial cells as a protective factor: a retrospective cohort study based on public database.",application,relevant,cervical cancer,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:04:20.194966,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis', 'Clustering']",N/A,"This study explored the role of glycosyltransferases (GTs) in cervical cancer using single-cell and spatial transcriptomics. It identified GALNT3-negative epithelial cells as a protective factor, correlating with reduced tumor-associated macrophages and myeloid-derived suppressor cells, and demonstrated the impact of GALNT3 expression on cancer cell behavior in vitro.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Reproductive,Cancer (General),
10.1002/advs.202411126,40387171,Integrating Spatial and Single-Nucleus Transcriptomic Data to Assess the Effects of Intrauterine Hyperglycemia on Fetal Pancreatic Development.,application,relevant,Fetal pancreatic development under maternal pregestational diabetes mellitus,"['single-nucleus RNA sequencing', 'spatial transcriptomics', 'snRNA-seq']",weak_llm_annotated,2025-06-26T03:04:26.318781,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis', 'Clustering', 'Integration with other omics']",N/A,"To investigate the specific impacts of maternal pregestational diabetes mellitus (PGDM) on cellular functions and intercellular communication within the fetal pancreas. The study aims to reveal cellular responses, spatial changes, and molecular mechanisms underlying fetal pancreatic response to maternal PGDM.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-nucleus_RNA-seq(snRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Pancreas,Metabolic Disorder,
10.1002/art.43254,40386960,Precision Medicine in Pediatric Autoimmunity: Leniolisib Treatment of Childhood-Onset Lupus Nephritis Due to Activated PI3K-Delta Syndrome (APDS).,application,relevant,Childhood-onset Lupus Nephritis (LN) in Activated PI3K-delta Syndrome type 1 (APDS1),"['MIBI-TOF (Multiplexed Ion Beam Imaging Time-of-Flight Spectrometry)', 'flow cytometry', 'clinical parameters']",weak_llm_annotated,2025-06-26T03:04:32.542161,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial proteomics', 'Flow cytometry analysis']",N/A,"To investigate the mechanistic underpinnings and treatment response of lupus nephritis (LN) in activated PI3K-delta syndrome type 1 (APDS1) using pathway-specific therapy and advanced spatial proteomics. The study aimed to characterize the kidney tissue immune architecture in APDS1-LN and compare it to typical childhood-onset LN and healthy controls. It also evaluated the therapeutic response to leniolisib, a selective PI3Kδ inhibitor.",[],Not mentioned,N/A,,,,,"['irrelevant_terms', 'Multiplexed_Ion_Beam_Imaging(MIBI)', 'other_methods']","['irrelevant_terms', 'spatial_proteomics', 'other_methods']",Kidney,Autoimmune Disease,
10.21203/rs.3.rs-6469280/v1,40386415,Region- and cell type-specific changes in gene expression in the cerebellum after classical fear conditioning.,application,relevant,"cerebellum, classical fear conditioning","['spatial transcriptomics', 'snRNA-seq']",weak_llm_annotated,2025-06-26T03:04:38.276796,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,Investigate transcriptional changes in the cerebellum associated with auditory fear conditioning using spatial transcriptomics and single-nucleus RNA sequencing. Highlight region- and cell-type-specific molecular adaptations in the cerebellum contributing to non-motor learning.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-nucleus_RNA-seq(snRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),,
10.21203/rs.3.rs-6401505/v1,40386410,Paired mutation calling and spatial transcriptomics identify cellular neighbourhoods dictating the neoplastic outcome of colitis.,application,relevant,Colitis-associated tumorigenesis in mice,"['histology images', 'spatial transcriptomics', 'in vivo lineage tracing', 'mutational profiling']",weak_llm_annotated,2025-06-26T03:04:44.150922,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study investigates how the cellular environment impacts the progression from inflammatory bowel disease to cancer by combining lineage tracing, computational modeling, mutational profiling, and spatial transcriptomics. It aims to identify epithelial- and immune-enriched neighborhoods that facilitate tumor initiation by promoting the selection and expansion of pro-oncogenic clones.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'irrelevant_terms']","['spatial_transcriptomics', 'histology', 'irrelevant_terms']",Gastrointestinal_colorectal,Inflammatory Disease,Rodent
10.1155/humu/5530325,40386292,Single-Cell and Spatial Transcriptomics Explore Purine Metabolism-Related Prognostic Risk Model and Tumor Immune Microenvironment Modulation in Ovarian Cancer.,application,relevant,Ovarian Cancer,"['single-cell sequencing', 'spatial transcriptomics', 'RT-qPCR']",weak_llm_annotated,2025-06-26T03:04:56.103755,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Pseudotime analysis', 'Gene expression analysis', 'Prognostic modeling', 'Tumor microenvironment analysis', 'Immunotherapy association analysis']",N/A,This study aims to explore purine metabolism-related prognostic risk models and their impact on the tumor immune microenvironment in ovarian cancer. It uses single-cell and spatial transcriptomics to identify key genes and cellular behaviors associated with prognosis and immunotherapy response.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'other_methods']","['spatial_transcriptomics', 'other_methods']",Reproductive,Cancer (General),
10.1186/s12905-025-03750-y,40382612,"Metabolism-associated marker gene-based predictive model for prognosis, targeted therapy, and immune landscape in ovarian cancer: an integrative analysis of single-cell and bulk RNA sequencing with spatial transcriptomics.",application,relevant,Ovarian cancer,"['scRNA-seq', 'bulk RNA sequencing', 'spatial transcriptomics', 'TCGA-ovarian serous cystadenocarcinoma (OV)']",weak_llm_annotated,2025-06-26T03:05:13.912697,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],Seurat,"This study aims to identify metabolism-associated marker genes (MRGs) to develop a prognostic model for ovarian cancer (OC). The model is used to explore targeted therapies, predict immune landscape, and understand the biological functions linked to metabolism in OC. The study also validates the prognostic ability of a specific MRG, TREM1, and identifies potential therapeutic drugs.","['TCGA', 'TIP database', 'TIDE database', 'CMap database']",Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Bulk_RNAseq', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics']",Reproductive,Cancer (General),
10.1186/s12974-025-03460-0,40380229,Spatiotemporal dynamic changes of meningeal microenvironment influence meningeal lymphatic function following subarachnoid hemorrhage: from inflammatory response to tissue remodeling.,application,relevant,Subarachnoid Hemorrhage (SAH) in mice,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:05:37.506863,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis']",N/A,To investigate the meningeal transcriptional response post-SAH and elucidate the dynamic influence of the meningeal microenvironment on meningeal lymphatic function. The study aimed to characterize spatiotemporal dynamic changes in the early meningeal microenvironment post-SAH and validate findings in a mouse model.,[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)']","['spatial_transcriptomics', 'transcriptomics']",Nervous System (Brain/CNS),,Rodent
10.1136/jitc-2024-011292,40379271,Macrophage sensitivity to bexmarilimab-induced reprogramming is shaped by the tumor microenvironment.,application,relevant,Breast cancer,"['patient-derived explant culture', 'RNA sequencing', 'multiplex cytokine profiling', 'single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:05:49.250538,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study explored the responsiveness of tumor microenvironments to bexmarilimab, a macrophage reprogramming therapy, using patient-derived explant cultures. It characterized responses via RNA sequencing and multiplex cytokine profiling, and investigated effects of Clever-1+ macrophages and TME features using single-cell RNA sequencing and spatial transcriptomics. The findings revealed that the inflammatory state of the TME is the primary determinant of response and emphasized the need for patient selection.",[],Not mentioned,N/A,,,,,"['irrelevant_terms', 'general_spatial_transcriptomics', 'Single-cell_RNA-seq(scRNA-seq)', 'other_methods']","['spatial_transcriptomics', 'irrelevant_terms', 'transcriptomics', 'other_methods']",Breast,Cancer (General),
10.1111/cpr.70062,40375605,Deciphering the Immunomodulatory Function of GSN<sup>+</sup> Inflammatory Cancer-Associated Fibroblasts in Renal Cell Carcinoma Immunotherapy: Insights From Pan-Cancer Single-Cell Landscape and Spatial Transcriptomics Analysis.,application,relevant,Renal cell carcinoma (specifically clear cell renal cell carcinoma) and pan-cancer immunotherapy,"['pan-cancer single-cell RNA sequencing', 'spatial transcriptomics sequencing', 'bulk RNA-seq', 'in vivo experiments', 'in vitro experiments', 'real-world immunotherapy data']",weak_llm_annotated,2025-06-26T03:06:07.104697,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,pipeline,"['machine learning', 'spatial gene expression analysis', 'cell-cell interaction analysis']",Caf.Sig,"The study aims to decipher the immunomodulatory function of GSN+ inflammatory cancer-associated fibroblasts (iCAFs) in renal cell carcinoma immunotherapy. It introduces the Caf.Sig model, a machine learning-based tool for predicting immune checkpoint inhibitor (ICI) response using CAF gene signatures. The research also investigates the mechanisms by which GSN+ iCAFs influence ICI efficacy and suggests therapeutic strategies for upregulating GSN.",[],Not mentioned,N/A,,,,,"['general_spatial_transcriptomics', 'Histology_Images', 'irrelevant_terms', 'Single-cell_RNA-seq(scRNA-seq)', 'Bulk_RNAseq']","['spatial_transcriptomics', 'histology', 'transcriptomics', 'irrelevant_terms']",Kidney,Cancer (General),
