doi,pmid,title,paper_type,relevance_score_llm,biological_context,data_modalities_used,annotation_status,llm_query_date,llm_model,is_method_paper,is_method_comparison_paper,review_type,methodology_type,covered_analysis_steps,pipeline_package_name,main_goals,data_links_mentioned,code_availability.status,code_availability.link_in_abstract_or_title,is_spatial_omics,is_disease_specific_review,is_pipeline_paper
10.1093/gigascience/giaf035,40366868,Spatial integration of multi-omics data from serial sections using the novel Multi-Omics Imaging Integration Toolset.,method,highly_relevant,Prostate tissue samples,"['spatial transcriptomics', 'mass spectrometry imaging']",weak_llm_annotated,2025-06-26T03:07:47.901391,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,framework,"['Integration with other omics', 'Image registration']",MIIT (Multi-Omics Imaging Integration Toolset),"The paper presents the Multi-Omics Imaging Integration Toolset (MIIT), a Python framework for integrating spatially resolved multi-omics data from serial sections. A key component is the novel non-rigid registration algorithm, GreedyFHist, validated on serial sections. MIIT aims to enable the correlation of gene signatures with metabolic measurements from different spatial omics modalities.",[],Not mentioned,N/A,,,
10.1093/bib/bbaf209,40366860,"MMsurv: a multimodal multi-instance multi-cancer survival prediction model integrating pathological images, clinical information, and sequencing data.",method,relevant,Multi-cancer,"['HE-stained whole-slide images', 'clinical information', 'sequencing data']",weak_llm_annotated,2025-06-26T03:07:53.996270,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,algorithm,"['Cell Segmentation', 'Feature Extraction', 'Data Integration', 'Survival Prediction']",MMSurv,"This study presents MMSurv, an interpretable multimodal deep learning model to predict survival in different types of cancer by integrating pathological images, clinical information, and sequencing data. It introduces a novel fusion method combining compact bilinear pooling and Transformer architecture for multimodal data integration. The model demonstrates improved predictive accuracy compared to single-modal approaches.",[],Not mentioned,N/A,,,
10.3389/fnimg.2025.1554769,40365169,A deep neural network for adaptive spatial smoothing of task fMRI data.,method,relevant,N/A,"['functional MRI', 'task fMRI data']",weak_llm_annotated,2025-06-26T03:07:59.867566,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,algorithm,"['Preprocessing', 'Denoising', 'Spatial Smoothing']",N/A,"This study introduces a deep neural network (DNN) for adaptive spatial smoothing of task fMRI data. The method aims to improve spatial specificity in subject-level analysis without significantly increasing computational costs, making it suitable for ultrahigh-resolution fMRI. It incorporates brain tissue properties for more accurate brain activation characterization.",[],Not mentioned,N/A,,,
10.1093/braincomms/fcaf171,40365132,Altered functional connectivity strength between structurally and functionally affected brain regions in visual snow syndrome.,application,irrelevant,Visual Snow Syndrome,"['fMRI', 'resting-state MRI', 'anatomical MRI']",weak_llm_annotated,2025-06-26T03:08:05.953920,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['functional connectivity calculation', 'resting-state analysis', 'MRI data acquisition']",N/A,"To investigate the resting-state functional connectivity between structurally and functionally affected brain regions in individuals with Visual Snow Syndrome (VSS) and its relation to VSS symptoms and oculomotor measures. The study aimed to identify differences in connectivity strength between VSS patients and healthy controls, and explore correlations with symptom severity and perceived disruptiveness.",[],Not mentioned,N/A,,,
10.21769/BioProtoc.5291,40364991,snPATHO-seq: A Detailed Protocol for Single Nucleus RNA Sequencing From FFPE.,method,relevant,Breast cancer (mentioned as an example of diverse FFPE samples),"['snRNA-seq', 'FFPE tissues', 'spatial transcriptomics', 'FFPE Visium']",weak_llm_annotated,2025-06-26T03:08:11.973001,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,workflow,"['Nuclei isolation', 'Single-nucleus transcriptomics']",snPATHO-seq,"The paper presents snPATHO-seq, a novel workflow for generating high-quality single-nucleus transcriptomic data from FFPE tissues. It optimizes nuclei isolation and leverages short RNA probes with the 10x Genomics Flex assay to overcome RNA degradation. The method aims to provide superior data quality compared to existing FFPE workflows, enabling high-resolution transcriptomics of archival samples.",[],Not mentioned,N/A,,,
10.3390/s25092659,40363098,Dynamic Deformation Analysis of Super High-Rise Buildings Based on GNSS and Accelerometer Fusion.,method,irrelevant,N/A,"['GNSS', 'accelerometer']",weak_llm_annotated,2025-06-26T03:08:17.942437,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,algorithm,"['Preprocessing', 'Denoising', 'Data Fusion']",N/A,This study proposes and validates a data fusion algorithm (NRBO-FMD optimization with ARKF) for dynamic displacement analysis of super-tall buildings using GNSS and accelerometer data. The method aims to mitigate noise and errors from individual sensors to achieve high-precision displacement reconstruction and identify structural dynamic response frequencies.,[],Not mentioned,N/A,,,
10.3390/ijms26093997,40362237,New Insights and Implications of Cell-Cell Interactions in Developmental Biology.,review,relevant,embryonic development,"['scRNA-seq', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:08:23.939991,models/gemini-2.5-flash-lite-preview-06-17,False,False,methods_review,N/A,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",N/A,"This paper reviews the exponential increase in cell-cell interaction (CCI) works in developmental biology from 2008 to 2023. It categorizes 93 analytical tools and 39 databases, demonstrating their utility. The paper also scrutinizes challenges and limitations in the field.",[],Not mentioned,N/A,,,
10.3390/ijms26093949,40362187,Spatial Omics in Clinical Research: A Comprehensive Review of Technologies and Guidelines for Applications.,review,relevant,N/A,"['spatial transcriptomics', 'spatial proteomics', 'spatial epigenomics']",weak_llm_annotated,2025-06-26T03:08:29.812262,models/gemini-2.5-flash-lite-preview-06-17,False,False,technology_review,N/A,"['Spatial Omics Technologies', 'Analytical Methods', 'Validation Strategies', 'Clinical Applications', 'Multi-omics Pipelines', 'Computational Tools']",N/A,"This review provides a comprehensive overview of key spatial omics technologies, their analytical methods, validation strategies, and clinical applications. It discusses how spatial omics is transforming precision medicine, biomarker discovery, and personalized therapy. The paper highlights the need for improved standardization, reproducibility, and multimodal data integration.",[],Not mentioned,N/A,,,
10.1038/s41592-025-02711-5,40360918,Integrating GWAS and spatial omics.,review,highly_relevant,N/A,['spatial omics'],weak_llm_annotated,2025-06-26T03:08:35.646153,models/gemini-2.5-flash-lite-preview-06-17,False,False,methods_review,N/A,['Integration with other omics'],N/A,This paper reviews the integration of Genome-Wide Association Studies (GWAS) with spatial omics data. It explores the methods and challenges in combining these datasets to gain deeper biological insights.,[],Not mentioned,N/A,,,
10.1038/s41368-025-00366-8,40360503,Single-cell and spatial transcriptomics reveals an anti-tumor neutrophil subgroup in microwave thermochemotherapy-treated lip cancer.,application,relevant,Lip squamous cell carcinoma (LSCC) treated with microwave thermochemotherapy (MTC),"['single-cell transcriptomics (scRNA-seq)', 'spatial transcriptomics (ST)', 'hematoxylin-eosin (H&E)-stained images']",weak_llm_annotated,2025-06-26T03:08:41.692079,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis', 'Clustering', 'Visualization']",N/A,"This study uses single-cell and spatial transcriptomics to investigate the role of tumor-associated neutrophils (TANs) in lip cancer treated with microwave thermochemotherapy. It identifies an anti-tumor neutrophil subgroup (N1-phenotype) characterized by specific markers and functions, and describes their interaction with fibroblasts to form a defense wall against LSCC. The study also proposes a marker (MX2) for predicting prognosis and uses deep learning to predict its expression from H&E images.",[],Not mentioned,N/A,,,
10.1038/s41467-025-58989-8,40360467,Combining spatial transcriptomics with tissue morphology.,review,highly_relevant,N/A,"['spatial transcriptomics', 'H&E-stained samples', 'imaging AI']",weak_llm_annotated,2025-06-26T03:08:47.589261,models/gemini-2.5-flash-lite-preview-06-17,False,False,methods_review,framework,"['Spatial Gene Expression Analysis', 'Integration with other omics']",N/A,This review introduces a framework for categorizing methods that combine spatial transcriptomics with tissue morphology. It focuses on translation (using morphology to predict gene expression) and integration (enriching spatial transcriptomics with morphological features). The paper also explores learning strategies and future directions in this emerging field.,[],Not mentioned,N/A,,,
10.1101/gr.280305.124,40360185,Tissular chromatin-state cartography based on double-barcoded DNA arrays that capture unloaded PA-Tn5 transposase.,method,highly_relevant,"Mouse brain, mouse paw","['spatial omics', 'histology images']",weak_llm_annotated,2025-06-26T03:08:53.477135,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,framework,"['Spatial Domain Identification', 'Spatial Gene Expression Analysis']",N/A,To present a strategy for capturing chromatin histone modification signatures across tissue sections using double-barcoded DNA arrays compatible with in situ Protein A-transposase Tn5 tagmentation. This approach allows for the interrogation of active promoter signatures and reveals changes in chromatin states across tissues by integrating multiple histone modifications.,[],Not mentioned,N/A,,,
10.1002/jms.5143,40360168,Spatial Multiomics Toward Understanding Neurological Systems.,review,relevant,"Neurological Systems, Alzheimer's disease, Autism Spectrum Disorder","['spatial metabolomics', 'mass spectrometry imaging', 'spatial transcriptomics', 'spatial proteomics', 'epigenetics', 'multimodal imaging']",weak_llm_annotated,2025-06-26T03:08:59.397596,models/gemini-2.5-flash-lite-preview-06-17,False,False,general_review,N/A,[],N/A,"This paper reviews the advancement of spatial multiomics for understanding neurological systems. It highlights the importance of integrating various omics technologies, such as metabolomics, transcriptomics, and proteomics, to capture the complex molecular landscape of brain function and disease. Future directions are discussed, including the incorporation of epigenetics and nanoscale imaging.",[],Not mentioned,N/A,,,
10.1016/j.crmeth.2025.101047,40359937,Harmonizing TUNEL with multiplexed iterative immunofluorescence enriches spatial contextualization of cell death.,method,highly_relevant,Acetaminophen-induced hepatocyte necrosis and dexamethasone-induced adrenocortical apoptosis,"['multiplexed iterative labeling by antibody neodeposition (MILAN)', 'TUNEL', 'spatial proteomics', 'immunofluorescence', 'cyclic immunofluorescence (CycIF)']",weak_llm_annotated,2025-06-26T03:09:05.534223,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,other_methodology,"['Cell Segmentation', 'Spatial Gene Expression Analysis']",N/A,This paper evaluates variations of the TUNEL protocol for compatibility with multiplexed iterative labeling by antibody neodeposition (MILAN) and cyclic immunofluorescence (CycIF). The goal is to harmonize TUNEL with spatial proteomics to enhance the spatial contextualization of cell death in complex tissues. The study found that antibody-based TUNEL with pressure cooker retrieval can be flexibly integrated into MILAN staining series and is compatible with CycIF.,[],Not mentioned,N/A,,,
10.1007/s10753-025-02311-7,40358793,Multi-omics Analysis Reveals the Propagation Mechanism of Ferroptosis in Acute Kidney Injury.,application,relevant,Acute kidney injury (AKI),"['snRNA-seq', 'spatial transcriptomics', 'mouse model of bilateral renal ischemia-reperfusion injury']",weak_llm_annotated,2025-06-26T03:09:11.535256,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Spatial Domain Identification']",N/A,"This study analyzes snRNA-seq and spatial transcriptomics data to elucidate the propagation mechanism of ferroptosis in acute kidney injury. It identifies key genes (GPX4, FTH1, FTL) and transcription factors (KLF6) involved in ferroptosis and reveals a subpopulation of proximal tubule cells associated with this process.",[],Not mentioned,N/A,,,
10.1186/s13020-025-01112-2,40355943,Mass spectrometry-based metabolomic as a powerful tool to unravel the component and mechanism in TCM.,review,relevant,Traditional Chinese Medicine (TCM),"['LC-MS', 'GC-MS', 'metabolomics']",weak_llm_annotated,2025-06-26T03:09:17.519105,models/gemini-2.5-flash-lite-preview-06-17,False,False,application_review,N/A,"['Component analysis', 'Mechanism', 'Metabolomics']",N/A,"This review comprehensively examines the applications of MS-based metabolomics in elucidating TCM efficacy, spanning chemical composition analysis, molecular target identification, mechanism-of-action studies, and syndrome differentiation. It highlights recent innovations and challenges, and presents a forward-looking perspective on clinical translation and internationalization of TCM research.",[],Not mentioned,N/A,,,
10.1186/s12885-025-14261-2,40355814,INHBA<sup>+</sup> macrophages and Pro-inflammatory CAFs are associated with distinctive immunosuppressive tumor microenvironment in submucous Fibrosis-Derived oral squamous cell carcinoma.,application,relevant,Oral squamous cell carcinoma (OSCC) derived from oral submucosal fibrosis (OSF),"['scRNA-seq', 'spatial transcriptomics', 'multiple immunofluorescence staining']",weak_llm_annotated,2025-06-26T03:09:23.496507,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",N/A,"This paper investigates the distinctive tumor immunosuppressive microenvironment (TISME) in oral squamous cell carcinoma (OSCC) derived from oral submucosal fibrosis (ODSCC) compared to OSCC without OSF history (NODSCC). It identifies INHBA+ macrophages and pro-inflammatory cancer-associated fibroblasts (iCAFs) as key components contributing to a more severe TISME in ODSCC, potentially impacting immunotherapy sensitivity.",['GEO database'],Not mentioned,N/A,,,
10.1007/s12672-025-02484-5,40355680,Development of a machine learning-based predictive risk model combining fatty acid metabolism and ferroptosis for immunotherapy response and prognosis in prostate cancer.,application,relevant,Prostate cancer,"['bulk RNA sequencing', 'single-cell RNA sequencing', 'spatial transcriptomics', 'histology images']",weak_llm_annotated,2025-06-26T03:09:29.313767,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study developed a machine learning-based prognostic model for prostate cancer by integrating fatty acid metabolism and ferroptosis. The model stratifies patients into risk groups, predicts immunotherapy response, and identifies potential therapeutic targets, validated using multi-omics data and spatial transcriptomics.",[],Not mentioned,N/A,,,
10.1038/s41467-025-59206-2,40355462,High-resolution spatial transcriptomics and cell lineage analysis reveal spatiotemporal cell fate determination during craniofacial development.,application,relevant,"Craniofacial development, mouse palatogenesis","['spatial transcriptomics', 'in vivo lineage tracing']",weak_llm_annotated,2025-06-26T03:09:35.168422,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"The paper reports a high-resolution spatiotemporal transcriptomic and cell-type atlas of cranial neural crest cell-derived mesenchymal lineage diversification during mouse palatogenesis. It reveals mesenchymal lineage establishment at or prior to palatogenesis initiation and identifies a heterogeneous Sox9+ mesenchymal progenitor population. The study demonstrates that distinct mesenchymal populations are established early, preceding palatal development.",[],Not mentioned,N/A,,,
10.1101/gr.280031.124,40355284,STCC enhances spatial domain detection through consensus clustering of spatial transcriptomics data.,method,highly_relevant,Normal tissue samples and tumor samples exhibiting layered structure or scattered cell type distribution patterns,['spatial transcriptomics'],weak_llm_annotated,2025-06-26T03:09:40.997192,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,framework,"['Clustering', 'Spatial Domain Identification']",STCC,"This paper introduces STCC, a novel consensus clustering framework for spatial transcriptomics data. It aggregates outcomes from state-of-the-art tools to improve spatial domain detection accuracy and stability. The framework utilizes various consensus strategies and demonstrates improved performance on simulated and real data.",[],Not mentioned,N/A,,,
10.1093/noajnl/vdaf058,40351834,What single-cell RNA sequencing taught us about <i>MGMT</i> expression in glioblastoma.,application,relevant,Glioblastoma (GBM),"['snRNA-seq', 'single-cell sequencing', 'sequencing']",weak_llm_annotated,2025-06-26T03:09:46.832680,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,['Spatial Gene Expression Analysis'],N/A,"This study evaluated MGMT expression at the single-cell level in glioblastoma using publicly available single-cell sequencing data. It aimed to understand the relationship between MGMT expression and MGMT promoter methylation status in tumor cells, contrasting with previous bulk methods.",[],Not mentioned,N/A,,,
10.1063/5.0250742,40351602,Hypoxia-induced RHCG as a key regulator in psoriasis and its modulation by secukinumab.,application,relevant,Psoriasis,"['spatial transcriptomics', 'single-cell transcriptomics', 'bulk data analysis', 'ex vivo experiments', 'clinical specimens']",weak_llm_annotated,2025-06-26T03:09:52.842099,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['spatial transcriptomics', 'single-cell transcriptomics', 'bulk data analysis']",N/A,"This study investigates the role of RHCG in psoriasis pathogenesis, particularly its induction by hypoxia and its modulation by secukinumab. The authors used bioinformatics and experimental approaches to show that RHCG upregulation in psoriatic skin enhances keratinocyte proliferation markers and activates dendritic cells. Secukinumab treatment effectively reduced RHCG expression, suggesting RHCG as a target for psoriasis therapy.",[],Not mentioned,N/A,,,
10.1002/pmic.202400378,40351101,Advances in Spatial Multi-Omics: A Review of Multi-Modal Mass Spectrometry Imaging and Laser Capture Microdissection-LCMS Integration.,review,highly_relevant,N/A,"['MALDI-MSI', 'LCM', 'LC-MS']",weak_llm_annotated,2025-06-26T03:09:58.673673,models/gemini-2.5-flash-lite-preview-06-17,False,False,methods_review,N/A,[],N/A,"This review focuses on mass spectrometry-based spatial omics, specifically matrix-assisted laser desorption/ionization mass spectrometry imaging (MALDI-MSI). It explores how MALDI-MSI, in combination with laser capture microdissection (LCM) and traditional liquid chromatography-mass spectrometry (LC-MS) workflow, is advancing spatially resolved multi-omics research.",[],Not mentioned,N/A,,,
10.19540/j.cnki.cjcmm.20240902.702,40350850,[Characterization of protective effects of Jianpi Tongluo Formula on cartilage in knee osteoarthritis from a single cell-spatial heterogeneity perspective].,application,relevant,Knee osteoarthritis (KOA) cartilage tissue,"['single cell transcriptomics', 'spatial transcriptomics', 'real-time quantitative polymerase chain reaction', 'Western blot', 'immunohistochemical staining']",weak_llm_annotated,2025-06-26T03:10:04.561298,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,To systematically characterize the protective effects of Jianpi Tongluo Formula (JTF) on cartilage in knee osteoarthritis (KOA) and elucidate the underlying molecular mechanisms. The study integrates single cell and spatial transcriptomics with animal experiments to identify key pathogenic factors and assess JTF's intervention effects.,"['GSE254844', 'GSE255460']",Not mentioned,N/A,,,
10.1093/plphys/kiaf192,40350268,Major Facilitator Superfamily transporters balance sugar metabolism in peach.,application,relevant,Peach fruit development and ripening,"['spatial metabolomics', 'quantitative genetics', 'transcriptomics', 'comparative genomics', 'functional genomics']",weak_llm_annotated,2025-06-26T03:10:10.421268,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,To investigate the role of Major Facilitator Superfamily (MFS) transporters in balancing sugar metabolism during peach fruit development and ripening using a multi-omics approach. The study aims to identify key transporters and genetic loci influencing sugar accumulation and quality.,[],Not mentioned,N/A,,,
10.1136/jitc-2025-011563,40350207,Spatial transcriptomics highlights B cells as key contributors to a complete and durable response to chemo-immunotherapy in a patient with resectable NSCLC.,application,relevant,Resectable non-small cell lung cancer (NSCLC) with a solitary synchronous brain metastasis treated with neoadjuvant chemo-immunotherapy,"['spatial transcriptomics', 'single-cell RNA-sequencing', 'serum proteomic profiling', 'histology images']",weak_llm_annotated,2025-06-26T03:10:16.581782,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study reports a case of a patient with resectable NSCLC who achieved a complete pathologic response to neoadjuvant chemo-immunotherapy. Using spatial transcriptomics and other molecular profiling techniques, the paper highlights the role of B cells in mediating tumor eradication and the formation of tertiary lymphoid structures, suggesting mechanisms for a durable immune response. The findings aim to guide biomarker discovery and clinical decision-making.",[],Not mentioned,N/A,,,
10.1016/j.brainres.2025.149688,40350141,Landscape of spatial disruption of homeostasis in the middle temporal gyrus of epileptic patients.,application,relevant,Epilepsy in the middle temporal gyrus of humans,"['single-cell RNA sequencing', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:10:22.525003,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Domain Identification', 'Spatial Gene Expression Analysis', 'Cell-Cell Interaction Analysis', 'Clustering', 'Dimension Reduction']",N/A,"This study investigates the middle temporal gyrus (MTG) in epileptic patients using single-cell RNA sequencing (scRNA-seq) and spatial transcriptomics (ST) to elucidate cellular and spatial disruptions associated with epilepsy. They identified cellular and layer-specific gene expression alterations, and spatial mapping revealed significant changes in key marker genes like NPY and GFAP. The study aimed to enhance understanding of the molecular and cellular underpinnings of epilepsy and identify potential therapeutic targets.",[],Not mentioned,N/A,,,
10.1002/advs.202503123,40349156,Gas Bubbles from Biodegradable Magnesium Implants Convey Mechanical Cues and Promote Immune Cell Stimulation.,application,relevant,Biodegradable magnesium implants and their effect on surrounding tissue and immune cells in rats.,"['spatial transcriptomics', 'immunohistochemistry', 'histology images']",weak_llm_annotated,2025-06-26T03:10:28.423535,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study investigates how gas bubbles from biodegradable magnesium implants influence adjacent tissue and cell behavior in rats, focusing on their biological implications, cellular responses, and the role of mechanical cues and inflammation. The findings suggest a need for controlled gas release and monitoring of bubble evolution in such implants.",[],Not mentioned,N/A,,,
10.1002/advs.202501095,40349154,From Multi-Omics to Visualization and Beyond: Bridging Micro and Macro Insights in CAR-T Cell Therapy.,review,relevant,"CAR-T cell therapy for hematological malignancies, solid tumors, and autoimmune diseases","['genomics', 'epigenomics', 'transcriptomics', 'proteomics', 'metabolomics', 'microbiomics', 'single-cell omics', 'spatial omics']",weak_llm_annotated,2025-06-26T03:10:34.347040,models/gemini-2.5-flash-lite-preview-06-17,False,False,general_review,N/A,[],N/A,"This review highlights recent advances in the integration of multidimensional omics within CAR-T therapy and explores cutting-edge developments in visualization technologies and AI applications. The convergence of multi-omics, visualization tools, and AI is expected to deliver transformative insights into the mechanisms governing CAR-T cell therapy.",[],Not mentioned,N/A,,,
10.1186/s12870-025-06654-z,40348990,Mapping the molecular signature of ABA-regulated gene expression in germinating barley embryos.,application,relevant,Germinating barley embryos,"['spatial transcriptomics', 'transcriptomics', 'metabolomics']",weak_llm_annotated,2025-06-26T03:10:40.091817,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"To map ABA-regulated gene expression in germinating barley embryos using spatial transcriptomics, transcriptomics, and metabolomics. The study aimed to understand the molecular signature of ABA's role in seed germination and phytohormonal crosstalk.",[],Not mentioned,N/A,,,
10.1038/s41598-025-00601-6,40348770,The co-evolution and driving mechanism analysis of ecosystem services value and tourism economic resilience from 286 cities in China.,other,irrelevant,N/A,[],weak_llm_annotated,2025-06-26T03:10:45.991803,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study analyzes the co-evolution and driving mechanisms of ecosystem service value (ESV) and tourism economic resilience (TER) in 286 Chinese cities. It uses the Coupling Coordination Degree (CCD) model, ESDA, and GWR to evaluate their interrelation, spatial patterns, and influencing factors, aiming to optimize human-environment interactions within the tourism system.",[],Not mentioned,N/A,,,
10.1016/j.modpat.2025.100791,40348058,Differential Localization of β-Catenin Protein in CTNNB1 Mutant Endometrial Cancers Results in Distinct Transcriptional Profiles.,application,relevant,Endometrioid endometrial cancers (EECs) with CTNNB1 exon 3 mutations,"['spatial transcriptomics', 'immunohistochemistry']",weak_llm_annotated,2025-06-26T03:10:52.120478,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Spatial Gene Expression Analysis', 'Clustering']",N/A,"This study aimed to determine downstream gene expression based on the localization of mutant β-catenin protein (nuclear vs. non-nuclear) in CTNNB1 mutant endometrial cancers. It utilized spatial transcriptomics to identify distinct transcriptional profiles associated with these localizations, revealing pathway enrichments and a novel therapeutic target (TROP2). The findings emphasize the heterogeneity of intratumor transcriptional profiles dependent on β-catenin localization.",[],Not mentioned,N/A,,,
10.1016/j.devcel.2025.04.013,40347947,Single-cell MultiOmics and spatial transcriptomics demonstrate neuroblastoma developmental plasticity.,application,relevant,Neuroblastoma development and heterogeneity,"['single-cell MultiOmics', 'spatial transcriptomics']",weak_llm_annotated,2025-06-26T03:10:57.910252,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This study dissects the transcriptional and epigenetic landscapes governing developmental states in neuroblastoma using single-cell MultiOmics and spatial transcriptomics. It identifies developmental intermediate states and epigenetic priming critical for malignant transitions in high-risk neuroblastomas. The research also maps enhancer gene regulatory networks and microenvironments sustaining aggressive states, suggesting therapeutic targets.",[],Not mentioned,N/A,,,
10.1016/j.ceb.2025.102524,40347709,Signals from the extracellular matrix: Region- and sex-specificity in cardiac aging.,review,relevant,Cardiac aging,"['spatial transcriptomics', 'spatial proteomics', 'histology images']",weak_llm_annotated,2025-06-26T03:11:03.826786,models/gemini-2.5-flash-lite-preview-06-17,False,False,application_review,N/A,[],N/A,"This paper reviews how age-specific extracellular matrix (ECM) changes in the heart contribute to altered cellular signaling, dysregulated mechanotransduction, and pro-fibrotic signaling cascades. It highlights regional and sex differences in these ECM changes and calls for new biomaterial strategies to study these complex cellular signaling events.",[],Not mentioned,N/A,,,
10.1080/03008207.2025.2501703,40347072,Spatial transcriptomic applications in orthopedics.,review,relevant,"Musculoskeletal tissues (cartilage, joints, bone, tendon, ligament, and synovium)","['10X Visium', '10X Xenium', 'seqFISH+', 'MERFISH', 'NanoString GeoMx DSP']",weak_llm_annotated,2025-06-26T03:11:09.822365,models/gemini-2.5-flash-lite-preview-06-17,False,False,technology_review,N/A,[],N/A,This review highlights the transformative impact of spatial transcriptomics on orthopedic research. It reviews various spatial transcriptomic methods used on musculoskeletal tissues and discusses their potential for clinical diagnostics and precision medicine.,[],Not mentioned,N/A,,,
10.1016/j.jhep.2025.04.037,40345627,Decoding the Resistin-CAP1 Pathway in Intermediate Monocytes Mediating Liver Allograft Rejection.,application,relevant,Liver allograft rejection in rats,"['single-cell RNA sequencing', 'spatial transcriptome', 'flow cytometry', 'multiplexed imaging']",weak_llm_annotated,2025-06-26T03:11:15.939416,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['Cell-Cell Interaction Analysis', 'Spatial Gene Expression Analysis']",N/A,This study identifies intermediate monocytes and the Resistin-CAP1 pathway as crucial mediators of liver allograft rejection. It demonstrates the therapeutic potential of targeting this pathway using nanogold-siRNA technology to mitigate rejection and improve graft survival.,[],Not mentioned,N/A,,,
10.1016/j.cels.2025.101291,40345200,All-at-once spatial proteome profiling of complex tissue context with single-cell-type resolution by proximity proteomics.,method,highly_relevant,Pancreatic tumor and spleen,"['spatial proteomics', 'laser microdissection', 'flow cytometry', 'histology images']",weak_llm_annotated,2025-06-26T03:11:22.035306,models/gemini-2.5-flash-lite-preview-06-17,True,False,N/A,pipeline,"['Spatial Proteomics', 'Cell-type Proteome Capture']",PSPro,"The paper introduces Proximity Labeling for Spatial Proteomics (PSPro), a novel method for all-at-once spatial proteome profiling of complex tissues with single-cell-type resolution. PSPro combines antibody-targeted biotinylation and affinity purification, offering improved sampling precision, throughput, and proteome coverage compared to existing methods like LMD-MS and antibody-based imaging. It was applied to tumor and spleen slices, enriching thousands of proteins from ten cell types and allowing for spatial proteome heterogeneity analysis.",[],Not mentioned,N/A,,,
10.1016/j.stem.2025.04.007,40345192,3D reconstruction of a human Carnegie stage 9 embryo provides a snapshot of early body plan formation.,application,relevant,Human embryo development at Carnegie stage 9,"['spatial transcriptomics', 'cryosections', 'histology images']",weak_llm_annotated,2025-06-26T03:11:27.945224,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,"['3D reconstruction', 'Spatial Gene Expression Analysis', 'Cell Segmentation', 'Visualization']",N/A,"This study provides a 3D reconstruction of a human Carnegie stage 9 embryo using spatial transcriptomics. It identifies diverse cell types and provides insights into early body plan formation, including hindbrain development, the isthmic organizer, neuromesodermal progenitor cells, aorta formation, and primordial germ cells.",[],Not mentioned,N/A,,,
10.1002/advs.202411574,40344470,Immune and Angiogenic Profiling of Mesenchymal Stem Cell Functions in a Subcutaneous Microenvironment for Allogeneic Islet Transplantation.,application,low_relevance,"Type 1 Diabetes, Allogeneic Islet Transplantation",['histology images'],weak_llm_annotated,2025-06-26T03:11:33.774813,models/gemini-2.5-flash-lite-preview-06-17,False,False,N/A,N/A,[],N/A,"This work evaluates the proangiogenic and immunomodulatory properties of mesenchymal stem cells (MSCs) to enhance vascularization and modulate early-stage immune rejection pathways in the context of islet allotransplantation. It assesses vascularization and immune regulation provided by MSCs in a NICHE platform to improve islet survival and integration in diabetic rats, considering sex as a biological variable.",[],Not mentioned,N/A,,,
